iter	RMSE
0	0.581674246
1	0.5437092225
2	0.5089854921
3	0.4775188733
4	0.452382568
5	0.4293874962
6	0.4061603845
7	0.3864077343
8	0.3672054919
9	0.353455422
10	0.3390557927
11	0.3249516145
12	0.3087531054
13	0.2944085126
14	0.2810649136
15	0.2692920475
16	0.2581709367
17	0.2484040995
18	0.2381837177
19	0.2288752179
20	0.2206518566
21	0.2125984392
22	0.205278426
23	0.1984293651
24	0.1920866283
25	0.1879102381
26	0.1835436115
27	0.1789978292
28	0.1744793847
29	0.1707359708
30	0.1681633027
31	0.1646103087
32	0.1621700155
33	0.1601122328
34	0.1572026324
35	0.1549478507
36	0.1511621581
37	0.1478990236
38	0.1459089503
39	0.1439041893
40	0.143027696
41	0.1417830482
42	0.1415656183
43	0.1381811698
44	0.1367600004
45	0.1345734239
46	0.1325134093
47	0.1316190478
48	0.1295714025
49	0.127249792
50	0.1240172358
51	0.1228159074
52	0.1194946894
53	0.1172290485
54	0.1146986038
55	0.1127848356
56	0.111880972
57	0.1094957096
58	0.1081876963
59	0.1066518488
60	0.104944837
61	0.1023826038
62	0.1023009668
63	0.100606141
64	0.09912115642
65	0.09810911484
66	0.09692527498
67	0.09657323052
68	0.09650335576
69	0.09443180711
70	0.09371999108
71	0.09365735649
72	0.09251132008
73	0.09058302484
74	0.08932512144
75	0.0879563895
76	0.08692966142
77	0.08492748634
78	0.08411205792
79	0.08285873195
80	0.08199264009
81	0.08094122744
82	0.079449412
83	0.07862217979
84	0.0778638175
85	0.07702501941
86	0.07676875837
87	0.07582725222
88	0.0756710909
89	0.07563751691
90	0.07560604126
91	0.07557407185
92	0.07491500425
93	0.07376603879
94	0.0734475182
95	0.07175083163
96	0.07041628672
97	0.06912403619
98	0.06909478591
99	0.06792989519
100	0.06714915988
101	0.06597944293
102	0.06499128817
103	0.06470687568
104	0.06467926464
105	0.06384065051
106	0.06281311733
107	0.06212967481
108	0.06139025709
109	0.06136369288
110	0.06118360229
111	0.0611572182
112	0.06113217629
113	0.06110169249
114	0.06060257906
115	0.06057777811
116	0.06053505288
117	0.05942753018
118	0.05864233848
119	0.0578175051
120	0.05703804704
121	0.05701469011
122	0.05694353474
123	0.0569196625
124	0.05628747028
125	0.05557649355
126	0.05473406279
127	0.05419814213
128	0.05405941406
129	0.0539538852
130	0.05391022572
131	0.05390198079
132	0.05389388389
133	0.05320664678
134	0.05262778996
135	0.05258774785
136	0.05205363537
137	0.05133096432
138	0.05059556027
139	0.05058775057
140	0.05058008128
141	0.05024745406
142	0.04946428745
143	0.04945675264
144	0.04887867375
145	0.04823368354
146	0.04770827652
147	0.04730968546
148	0.0469986133
149	0.04699168232
150	0.04698487626
151	0.0469780696
152	0.04690745188
153	0.0463911628
154	0.04573824
155	0.04573163834
156	0.04525607794
157	0.04483340688
158	0.04439766473
159	0.04439122308
160	0.04398971133
161	0.04398345657
162	0.04355003846
163	0.04343981996
164	0.0434336893
165	0.04335523069
166	0.04334919593
167	0.04334338099
168	0.04333767104
169	0.04326305049
170	0.04274328853
171	0.04234548364
172	0.0422719872
173	0.04226645389
174	0.04180988072
175	0.04151085494
176	0.04150554816
177	0.04123866003
178	0.04117601053
179	0.04111598175
180	0.04075002238
181	0.04051471044
182	0.04009786249
183	0.04004353812
184	0.04003895159
185	0.03973627376
186	0.03968319356
187	0.03931241743
188	0.03895156419
189	0.03871917267
190	0.03866511403
191	0.03852793083
192	0.03816284685
193	0.0378888073
194	0.03771594517
195	0.03736881256
196	0.03694683044
197	0.03658868618
198	0.0364384117
199	0.03643439731
200	0.03615339308
201	0.03587620321
202	0.03556724571
203	0.03535911402
204	0.03515589786
205	0.03496937701
206	0.03477000032
207	0.03443407385
208	0.03425073734
209	0.03412582071
210	0.03387092885
211	0.03373055008
212	0.03372706221
213	0.03355129246
214	0.0335478845
215	0.03354453865
216	0.03340260822
217	0.03336086493
218	0.03321111494
219	0.03298892026
220	0.03298579902
221	0.03298273426
222	0.03277312238
223	0.03277005945
224	0.03267088373
225	0.03266794157
226	0.03266505268
227	0.03266221604
228	0.03249267217
229	0.03229670585
230	0.03229391356
231	0.03202385993
232	0.03183768396
233	0.03183486404
234	0.03183209532
235	0.03164315141
236	0.0316404257
237	0.03160057567
238	0.03159792702
239	0.03148792147
240	0.03148538833
241	0.03130757086
242	0.03130504031
243	0.0311824513
244	0.03090211848
245	0.0308996221
246	0.03070407386
247	0.03062146206
248	0.03061906534
249	0.03041436638
